,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceExpress,Production Days Express,Express Sku
2170,2000,0.2,A3,120gsm Premium Smooth White Paper,None,Single Sided,,178.69,2,FLY-689-461-464-565-EXPRESS
2172,2000,0.2,A3,100gsm Premium Smooth White Paper,None,Double Sided,,150.48,2,FLY-653-525-608-523-EXPRESS
2173,2000,0.0,A6,450gsm Art Board Silk Finish,None,Double Sided,,84.64,1,FLY-513-464-462-503-EXPRESS
2176,2000,0.0,A7,350gsm Recycled Uncoated,None,Single Sided,,39.71,1,FLY-460-510-563-650-EXPRESS
2177,2000,0.0,A7,350gsm Recycled Uncoated,None,Double Sided,,41.8,1,FLY-520-614-516-651-EXPRESS
2178,2000,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Single Sided,,46.66,1,FLY-614-656-453-557-EXPRESS
2179,2000,0.0,1/3 A4 (DL),350gsm Recycled Uncoated,None,Single Sided,,69.5,1,FLY-645-614-556-656-EXPRESS
2180,2000,0.0,Square 105mm x 105mm,350gsm Art Board Silk Finish,None,Single Sided,,54.6,1,FLY-543-472-525-562-EXPRESS
2183,2000,0.2,A5,120gsm Premium Smooth White Paper,None,Single Sided,,49.63,2,FLY-559-465-507-463-EXPRESS
2186,2000,0.2,A5,100gsm Premium Smooth White Paper,None,Double Sided,,41.8,2,FLY-605-653-555-522-EXPRESS
2187,2000,0.0,A6,450gsm Art Board Silk Finish,None,Single Sided,,80.41,1,FLY-569-565-651-515-EXPRESS
2188,2000,0.0,Square 148mm x 148mm,450gsm Art Board Silk Finish,None,Single Sided,,158.84,1,FLY-564-657-573-525-EXPRESS
2189,2000,0.0,Square 210mm x 210mm,130gsm Art Paper Gloss Finish,None,Single Sided,,84.38,1,FLY-559-699-613-611-EXPRESS
2190,2000,0.0,A4,130gsm Art Paper Silk Finish,None,Double Sided,,88.82,1,FLY-611-505-479-573-EXPRESS
2191,2000,0.2,A6,100gsm Premium Smooth White Paper,None,Double Sided,,25.92,2,FLY-696-612-513-616-EXPRESS
2193,2000,0.0,A6,130gsm Art Paper Gloss Finish,None,Double Sided,,27.17,1,FLY-500-562-558-563-EXPRESS
